# ==== Vocabulary ====
the 30550
project 100
gutenberg 87
ebook 13
of 18860
complete 24
works 67
william 89
shakespeare 9
this 7154
is 9750
for 8192
use 361
anyone 15
anywhere 9
in 12450
united 20
states 38
and 28487
most 1249
other 735
parts 123
world 672
at 2743
no 4078
cost 54
with 8553
almost 176
rest ri ctions 2
whatsoever 17
you 14435
may 1807
copy 24
it 8202
give 1423
away 908
or 2714
re use 2
under 316
terms 102
license 24
inclu ded 4
on line 4
wwwgutenbergorg 5
if 3815
are 3726
not 9073
lo cated 7
will 5297
have 6269
to 21035
check 31
laws 54
country 166
where 1363
before 983
using 14
title 108
author 15
release 8
date 26
j an uary 3
re cent ly 1
up d ated 2
oc to ber 1
language 44
english 166
start 39
by 4103
contents 67
son nets 6
alls 44
well 2627
that 11805
ends 54
tragedy 28
antony 516
cleopatra 268
as 6193
like 1937
comedy 12
errors 16
coriolanus 210
cymbeline 110
hamlet 462
prince 745
denmark 26
first 1383
part 633
king 3019
henry 627
fourth 64
second 634
life 924
fifth 35
sixth 35
third 276
e igh th 6
death 929
john 508
julius 19
caesar 518
lear 231
loves 326
labours 18
lost 287
macbeth 282
measure 98
merchant 62
venice 77
merry 181
wives 63
windsor 46
a 16358
mid summer 5
nights 66
dream 127
much 1100
ado 20
about 437
nothing 676
othello 324
moor 85
pericles 187
tyre 35
richard 773
romeo 300
juliet 197
tam ing 3
shrew 17
tempest 51
timon 315
athens 119
titus 235
andronicus 63
troilus 252
cressida 180
twel f th 3
night 717
what 4744
two 775
gentlemen 229
verona 35
noble 666
kinsmen 26
winters 35
tale 116
lovers 88
complaint 16
passionate 11
pilgrim 12
phoenix 20
turtle 9
rape 18
lucrece 45
venus 38
adonis 27
from 2909
fairest 48
creatures 49
we 3563
desire 269
increase 32
thereby 28
beautys 35
rose 81
might 561
never 1138
die 521
but 6741
ri per 3
should 1702
time 1112
decease 7
his 7600
tender 156
heir 112
bear 569
memory 61
thou 5856
contracted 11
thine 504
own 831
bright 92
eyes 808
feed st 3
thy 4353
lights 34
flame 27
self substantial 1
f ue l 5
making 91
famine 12
abundance 14
lies 279
thyself 239
foe 74
sweet 868
self 115
too 1344
cruel 76
art 988
now 3014
worlds 65
fresh 103
ornament 20
only 344
herald 70
gaudy 9
spring 73
within 516
bud 22
bu ri est 1
content 177
churl 9
makst 31
waste 51
niggard ing 1
pity 253
else 449
glutton 5
be 7373
eat 158
due 85
grave 196
thee 3416
when 2226
forty 31
shall 3851
besiege 11
brow 82
dig 10
deep 166
trenches 8
field 231
youths 14
proud 229
livery 29
so 5442
gazed 8
on 3357
t atter ed 3
weed 22
small 99
worth 227
held 91
then 2429
being 751
asked 26
all 4269
beauty 259
treasure 63
lusty 39
days 248
say 1750
sun ken 3
were 1720
an 1892
all eating 1
shame 349
thrift less 4
praise 192
how 2306
more 2515
deservd 21
couldst 34
answer 393
fair 884
child 259
mine 1262
sum 58
my 13186
count 106
make 1789
old 752
excuse 87
pro ving 2
succession 17
new 226
made 903
see 1552
blood 689
warm 48
feel st 3
cold 220
look 882
glass 75
tell 1117
face 480
vie west 2
form 116
another 594
whose 700
repair 49
rene west 1
dost 451
beguile 27
un bless 1
some 1442
mother 353
she 2747
un ear ed 1
womb 59
disdain s 7
till age 1
husbandry 15
who 1367
he 6938
fond 64
tomb 56
selflove 8
stop 108
posterity 14
mothers 106
calls 102
back 355
lovely 57
april 16
her 4632
prime 23
through 322
windows 22
age 225
shalt 320
despite 58
wrinkles 16
golden 107
live 560
remembered 21
single 60
image 55
dies 118
un thrifty 4
love liness 2
why 1553
spend 74
upon 1866
leg acy 6
natures 72
be quest 1
gives 179
doth 1082
lend 114
frank 12
lends 17
those 613
free 207
beauteous 45
niggard 10
abuse 55
bounteous 19
lar g ess 5
given 203
profit less 3
usurer 9
great 962
sums 17
yet 1744
canst 192
having 180
traffic 11
alone 262
deceive 29
nature 371
gone 489
ac ce p table 1
audit 9
leave 703
un used 5
must 1647
tom bed 1
which 2558
used 59
lives 228
th 991
execut or 2
hours 165
gentle 394
work 242
did 1784
frame 50
gaze 31
every 506
eye 499
dwell 48
play 316
tyrants 22
very 852
same 413
un fair 1
fairly 49
ex cel 7
never rest ing 1
leads 34
summer 63
hideous 23
winter 55
confounds 15
him 5554
there 1944
sap 15
checked 6
frost 13
leaves 81
quite 91
oers now ed 1
bar eness 4
summers 40
distill ation 2
left 271
liquid 9
prisoner 87
pent 8
walls 96
effect 73
bereft 22
nor 1058
remembrance 64
was 2439
flowers 86
distilled 8
though 690
they 2769
meet 332
le ese 1
their 2374
show 450
substance 42
still 635
let 2225
ragged 25
hand 912
de face 5
ere 398
vial 5
place 511
self killed 1
forbid den 5
usur y 4
happ ies 1
pay 153
willing 42
lo an 3
thats 437
breed 58
ten 161
times 256
happier 18
one 1959
than 2018
re figure d 1
could 687
do 4017
shouldst 81
depart 72
leaving 28
living 132
self will ed 2
deaths 60
conquest 35
worms 26
lo 88
or ient 7
gracious 196
light 316
lif ts 6
up 1161
burning 55
head 553
each 287
homage 17
new appearing 2
sight 226
serving 6
looks 246
sacred 56
majesty 262
cli m bed 3
steep up 2
heavenly 73
hill 46
resem bling 7
strong 210
youth 301
middle 22
mortal 120
adore 16
attending 56
pilgrimage 18
high most 2
pitch 33
weary 91
car 15
feeble 42
ree leth 1
day 782
fore 41
duteous 12
conver ted 7
low 105
tract 3
way 619
out going 1
noon 18
unlooked 5
diest 23
unless 168
get 325
son 707
music 229
hear 927
hearst 12
sadly 24
sweets 18
war 273
joy 214
delights 21
lovst 30
rece iv st 2
gladly 16
pleasure 196
annoy 12
true 854
concord 9
well tun ed 3
sounds 58
un ions 1
married 154
offend 61
ear 225
sweetly 35
chide 54
sing leness 2
mark 242
string 6
husband 306
strikes 46
mutual 18
order ing 3
sire 24
happy 217
pleasing 24
note 159
sing 170
speechless 15
song 83
many 613
seeming 63
sings 96
wilt 329
prove 270
none 515
fear 691
wet 25
widows 25
consum st 1
ah 183
issu el ess 2
hap 26
wail 26
make less 1
wife 519
widow 109
weep 189
hast 616
behind 130
private 73
keep 521
childrens 15
husbands 68
shape 94
mind 391
un thrift 3
shifts 9
en joys 7
hath 2062
end 350
kept 112
user 4
dest ro ys 2
love 2291
toward 107
others 250
bosom 134
sits 68
himself 494
such 1532
